,Date,Review,Rating
0,9/11/2019,"So this place gets a lot of love, and a bit of hate, too.  I didn't love it but I definitely didn't hate it.  It's an interesting place, for sure.The building itself is gorgeous.  It's beautiful on the outside and spectacular on the inside.  I'm pretty sure I read that the building itself is over 100 years old.  The business inside (the Magic Castle) has been operating for decades.I know they call themselves a ""private club"" and you have to be ""invited"" to get in (or stay at the Magic Castle Hotel next door, like we did) but I personally find the admissions policy a bit obnoxious.  It certainly didn't feel like a private club.  But it is what it is. Everyone has tips on how to get an invitation.  I got nothing for you on that one, folks.Yes, it's expensive.  Everyone gets charged an admission fee.  Let's just call that your ""show"" price.  Everyone is also forced to pay for either brunch (on the weekends) or dinner.  It's all you can eat for brunch but it's pricey, pretty much like any brunch.  Is it worth it?  Probably not but you gotta pay to play.Overall, you will probably be there for 5 or so hours.  That's a very long time for any experience.  So do the math and decide if you received value for your dollar.  I feel like we received value.Now, they give you a little pitch at the start about how you are ""guaranteed"" to see only ONE show and any extra shows you see would be a ""bonus.""  Oh, thank you, sir, so much, I sure hope the Lord is smiling on me today so I can get to see those bonus shows.  Personally, I really think this a little marketing pitch and a lowering of expectations so that, after you see all the shows, you feel like you received something extra or something special.  You received a ""bonus.""  Right.We went for the brunch because that's the only time you can bring kids.  The food was pretty darn good and bottomless mimosas are included.  There's endless shrimp, lox, crab legs, roast beef, salads, bacon, sausage, and an omelet station, among other things.  I liked pretty much all of it.What I didn't like is that the food is served in a ridiculously small space.  I know the building is very old and they are constrained by space limitations but they still could enlarge the food area; however, if they did, they would then lose some tables and thus, some customers.  So, they choose to sardine you and the food into a little closet-sized spot.Others have noted that they felt ""rushed"" by their servers.  We weren't rushed but there definitely was some strong encouragement given to us and others that if we finished up by a certain time, we could make it in time to see one of those special ""bonus"" shows.  Some people hurried up their brunch and left for the shows and others didn't.  I believe you can enjoy your food and not rush and still make those shows at some point.The ""guaranteed"" show was very good.  The smaller shows were fun but I got a little tired of all the card tricks.  All of the kiddos seemed to love all the shows so if you're bringing kids, they'll probably really enjoy the experience.Invisible Irma (the player piano) is a must-see/must-do.  Her knowledge of songs was excellent.  You've got to check it out.The bars throughout the building were stunningly beautiful.  I didn't frequent any of them but they were gorgeous.There's an old pay phone inside one of the men's rooms.  It plays ""alibis"" or excuses, if you're calling someone and want to disguise your true location.  It's pretty cute.  If you can go into this men's room, you should check it out.I followed the strict no photos policy so, other than the exterior and the lobby (where taking photos are allowed), I didn't take any pictures.  They are very serious about this rule, although I'm not sure why.Would I come back?  Maybe.  Would I go often?  No.  Was there value received?  Yes.  Was it an amazing value?  No, I wouldn't say that.   All said, I'm glad we went.  And my kid had a great time",4 star rating
1,11/1/2020,"this was my favorite place to visit by far other than Disneyland, I always wanted to go to the magic castle since I was 6 years old watching magic videos cassettes on VHS and to know I finally did with my beautiful wife Evelyn it was meant to be, one day we will be magic members that's for sure. I am still in love with this place the vibe was incredible and the magic superb, oh plus the food A+ the waiters were on point and very educated, I had the tomahawk steak OMG the best steak ever the meat was so tender to the bone I also really like the fact there's no photos inside so everyone stays socially connected with each other and focus on the magic I really didn't want to leave but the night was done, one can only dream again to visit this place the next goal is to be a member of this wonderful place called the Magic Castle",5 star rating
2,2/9/2020,"The Magic Castle (Hollywood, CA)I had this place bookmarked,for as long as I remember.But to get in here,you must be a member. Or you can be a guest of one,that's how we got in.For a night full of magic,and even some din. Here are the rules,so you don't get the boot.Dress code is enforced,so I bought a suit.Pictures aren't allowed,once you're inside this castle.If you're a Yelper or on IG,this can be a hassle. We started at the lobby,then ventured around.Every room had that excitement,like there's magic abound.A lot of card magic,the magicians are slick.Magic is more than an illusion,it's more than a trick.These magicians are skilled,and highly trained.They work hard at their craft,Are you not entertained? More than entertained I was,from the beginning to the end.I admit I was amazed,I can't even pretend.One thing I noticed,every one had a drink.There's a bar everywhere,in almost every room, I think. We also had dinner,as I earlier stated.I heard the food was pricey,and a bit overrated. I didn't think so,I liked my meal.I passed on the pork,and even the veal.I had their chicken,it was an amazing sight.I also did magic,food gone in one bite.My wife had their steak,she ate more than she could chew.So I helped her finish it,cuz' that's what hubbies do.There was still a final show,after our dinner date.But it was around 10 PM,I'm rarely up this late.The show was entertaining,but by then I was done.I still enjoyed the magic,and had a lot of fun.So, here's my advice,if you're not a member yet.If it's magic you seek,it's magic you'll get.We're not members,but family to one.She made us her guests,So we could enjoy the fun.Yes it was fun,regardless of the dress code hassle,The performers have talent,at this Magic Castle.",4 star rating
3,1/23/2020,"I recently had the pleasure of visiting the Magic Castle with 10 people during the holiday season -- and two of them were celebrating birthdays that month, which is apparently a huge deal here. Now a first-timer to the Castle (Isn't everyone else, though?), I outlined a few lessons that I learned (sometimes the hard way) by the end of my magical evening:1. Expect to wait on hold for a long time to make or modify a reservation. I waited 27 minutes to make my reservation, and 52 minutes to modify my reservation from 15 to 11 people. Wow, that was not fun. The hold music is pretty lame, too.2. You have to order an entree from the dinner menu, but there are a variety of choices. And, per my friends, it's all quite delicious. I had the pasta -- great size, great taste. Prices are pretty high, but so is everything else here.3. Make a schedule, but don't expect to stick to it. We had a vague idea of what we would be doing that night, and we deviated from it quite a bit. For one, we didn't know where anything was -- but we didn't mind. There's plenty to see and do.4. Not every act is a magic act. In fact, our ""Main Show"" consisted of an acrobatic duo. Fun, but not magic.5. Visit during the holiday season. The lights and decorations only add to the appeal.6. If it's your birthday, tell them. They'll make a big deal out of it -- seriously.7. Bring extra cash to tip. Probably the biggest lesson of the evening: bring cash! Every magician has a tip jar, and certain rooms in the house have attractions with tip jars.8. It's easy to get lost inside -- let it happen. The Magic Castle is a fun place to let loose and wander around!",4 star rating
4,7/22/2019,"So i learned a couple more new things throughout my visits to the Magic Castle. Every bar serves desserts, quick bites and appetizers, but the coolest bar, in my opinion is the one that is on the right of the top of the stairs. The reason that particular bar is my favorite especially when taking first timers is because you can ask the owl yes or no questions. THATS RIGHT. you can ask him questions. another cool thing is behind the first bar when you enter, there is a room where the piano is. Maybe if you want to change or set the mood, you can actually request songs. Be polite, her name is Irma. You dont have to go around the room to order a drink either, you can order from the little window that opens to the bar. I may have to reiterate that the castle does open at 5, and you dont have to show up at the same time as your dinner appointment. You can actually show up a lot earlier, so you can still enjoy the early shows, catch dinner while you're there and then stay and watch the rest of the shows. There is an early set of magicians and a late set, so if you go into the room of prestidigitation for a 6 o clock show, it may be a different performer at the 7 o clock show and a different experience, so there a lot to do, you just have to time it right - i havent mastered that yet. There are close up galleries throughout the castle. There are 2 downstairs areas, 4 rooms for performances. Youre allowed to bring your beverage into all of the 4 rooms. You can freely walk in and out of 2 of them. I got called up on stage for the first time, too. Never knew the magician. Never seen him ever. No strings attached, and i was in ABSOLUTE AWE.  HOW?? WHAT?? 10/10, will come back.",5 star rating
5,6/30/2019,"Food: I had heard the menu had been redone and new chef had come to the place. I found that the food was incredibly lackluster, in the small caesar salad and in the tagliatelle pasta. The food was also served cold, which was both dangerous and disheartening. The waiter was only checked up on us once more after dropping off food, so I was not happy with the service. I had expected decent service and warm food, and neither was delivered. Performances - I give the tricks and magicians five stars. They are passionate about their craft. While I went on a weekday and there weren't many magicians presenting, the ones there were a load of fun. Overall - I average things out to five stars noting the high cost of entry to such a novel LA establishment. While I respect the invite only notion, I do not believe such a high premium should be placed on those visiting and looking to have an experience that is already coveted. I would imagine the castle is a successful business, but at the expense of the average person. Perhaps I'm looking out for the little guy with a dream, or just don't know the true cost of running a place like this.",2 star rating
6,11/4/2019,Hubby knew a member who was able to get us in for our Anniversary. This place has been on my bucket list for awhile. We stayed at Magic Castle hotel next door so that was convenient The Victorian mansion is very cool and unique. You are only allowed to take pictures on the outside and in the lobby so take your pictures before you enter the actual club. My husband and I had dinner reservations at 8 so tried to catch a few magic shows before hand.  This place was majorly crowded. I'm not sure if they limit the amount of people allowed in each night but it doesn't appear that they do. We were able to  Get in about 15 minutes early for dinner reservation. Dinner was fantastic. My husband had the Tomahawk steak and I had the prime rib. The service was also excellent.  My only gripe about this place is that it's way too crowded and chances are you won't be able to see most of the magic shows available due to lines. We were only able to get in 2 out of the 6 shows. It's a cool experience but not sure we would go again.,3 star rating
7,1/15/2020,"Nothing is more difficult or secretive in Los Angeles than this place! Magic Castle truly is a magical event upon entering and is worth the money and trouble to get in!Getting a reservation: Probably the most difficult part of this whole ordeal. To make a reservation you must either be a member, know a magician, or stay at the Magic Castle Hotel nearby. Upon doing that and calling to make a reservation, you may be waiting a good time on the phone just to get through. After, expect reservations booked far in advance! Mine took about 5 months out. Entrance: Two ways to enter; either through the members line or non member line. There is a small backdrop that provides one of the few places to actually take a photo. Once you enter, you can take a last photo inside the lobby while paying the entrance fee. Also, if you don't have a jacket to enter they provide which is a nice touch!The rooms: Come early to each room and enjoy the shows up close! Don't forget to stop by the bar downstairs for an awesome show. Each room rotates their magicians every show with the bar magician staying the same. The main show ticket is provided after dinner which I recommend coming early to as well. The food: Exceptional and expensive! Expect to pay a hefty amount for drinks or desserts as well but it's all worth it and top notch. Overall, this place is worth the hassle to plan. Just ensure you've got enough money to spend and the correct dress code!Come early prior to dinner reservations to truly soak in every show and room in the house. If you're lucky to come by the opportunity to go here don't miss this awesome chance!",5 star rating
8,4/5/2020,"My son and I had a wonderful experience there. I wanted surprise him that I planned the day at the Magic Castle since he has been always interested in Magic. We both had a great time watching wonderful performances. My favorite was Irma the ghost pianist. She was ""Pleased"" to play my request Canon in D; it was played so beautifully and perfectly  Thank you for the magical day",5 star rating
9,3/6/2020,"This has been and ever shall be my favorite place to drink in Hollywood. I've been coming here for years & I'm still discovering little surprises the building has to offer.  Such as:-A ghost that plays piano and keeps up to date on your favorite tunes. -A number of well placed (& a few well hidden) bars each with interesting bottles, unique character & top talent providing the pours.-Seemingly endless nooks & crannies where one can enjoy a drink, a card trick or some intimate conversation. For a long time the one complaint was that the food was lackluster but they must have hired a new chef in recent years because (aside from an overly salted risotto) the last few meals we had here were top notch. After maybe a dozen visits I'm struck by how I always find something new to dazzle & delight.  It's a bit like Disneyland but without the hour+ drive.",5 star rating
